"CAPM_Beta ?@?~ -- 20171229,20161230,20151231,20141231",,,,
,,,,
?????N?X,29/12/2017,30/12/2016,31/12/2015,31/12/2014
2886 ??????,0.5843,0.8764,0.8374,0.7847
2887 ?x?s??,0.6296,0.9617,1.0227,0.8999
2888 ?s????,0.8598,1.1139,0.9614,0.6324
2889 ??????,0.3528,0.4984,0.5691,0.3411
2890 ??????,0.3278,1.0457,0.9829,0.7812
2891 ???H??,0.7497,1.0225,0.9532,1.1804
2892 ???@??,0.6488,0.621,0.572,0.7346
2897 ???D????,-0.2056,NA,NA,NA
2901 ?Y?Y,0.1051,0.2906,0.2202,0.2748
2903 ????,0.3411,0.6403,0.9038,0.5174
2904 ????,0.1986,0.1422,0.2659,0.2254
2905 ?T??,0.9188,0.6394,0.6782,0.4563
2906 ???L,0.1662,0.2123,0.3876,0.2803
2908 ?S?O,0.3188,0.2869,0.3739,0.2295
2910 ????,0.09,0.3619,0.7797,0.9756
2911 ?R????,0.1402,0.7574,0.8924,0.6367
2912 ???@?W,0.9354,0.7398,0.9227,0.7582
